annotation_approver,id,label,text,user
,358,4,"Using image measurements to understand and acquire properties of the physical world (such as the shape of an object, the reflectance of a surface, or the lighting in a room) is a critical capability for many sciences including medicine, material fabrication, remote sensing, robotics, autonomous navigation, architectural design, computer graphics, and computer vision.",1
,359,4,"At a high level, these properties can be found by taking images and using computational algorithms to infer unknown parameters from the measurements.",1
,360,4,"Broadly, the inference algorithms can be classified into two categories.",1
,361,4,"On the one hand, physics-based algorithms try to analytically model and then invert the physics underlying the process of how a scene of certain parameters produces measured images; these algorithms are generally accurate but require a lot of computation.",1
,362,4,"On the other hand, data-driven algorithms use supervised datasets to learn how to directly map measurements to unknowns; these algorithms are computationally efficient but are not guaranteed to produce accurate predictions.",1
,363,3,"This project aims to transform physical acquisition pipelines, by creating general-purpose computational tools that combine the advantages of physics-based and machine-learning-based techniques, and that are simultaneously efficient, accurate and robust.",1
,364,3,"By developing the theory and computational tools for this integration of simulation and learning, the project has the potential for transformative impact in application areas like industrial quality control, material science, oceanography, and biomedical imaging.",1
,365,3,"Widespread adoption of project outcomes will be encouraged by making new software publicly available, as well as by offering tutorials and workshops in computer graphics, vision, and imaging conferences.",1
,366,3,"The project also includes an education and outreach program that is tightly coupled to the research objectives, and which takes the form of courses, summer workshops, and lab visits for K-12 students intended to introduce them to science at an early stage and encourage STEM education.",1
,367,3,"Additionally, the project will contribute towards broadening participation in computing through targeted involvement in existing programs in the participating institutions that focus on outreach to female students, first-generation students, and students from traditionally underrepresented minorities.<br/><br/>This project aims to transform physical acquisition pipelines by creating general-purpose computational tools that enable efficient and robust inference.",1
,368,4,"This will be achieved by coupling physics-based and learning-based approaches, in a way that combines their complementary strengths of accuracy, generality, and efficiency.",1
,369,6,Three core areas of research will contribute to this.,1
,370,5,"First, the project will develop inference pipelines that synergistically combine neural networks with analysis by synthesis optimization, in order to efficiently produce high-fidelity estimates of physical parameters.",1
,371,5,"Neural networks will be trained in a physics-aware manner, by using physically-accurate renderers as layers in their architecture; this will allow the neural networks to simultaneously leverage supervised information and physical knowledge when making predictions.",1
,372,5,"Second, a new class of physically accurate differentiable renderers will be created, which will enable this tight integration of physics and learning without the need to sacrifice computational efficiency.",1
,373,5,"Instead of images, differentiable renderers will estimate their derivatives with respect to scene parameters; this estimation will be performed in a physically accurate way, using physical simulation algorithms derived from first principles and benefiting from innovations targeting improved efficiency.",1
,374,5,"Finally, the advantages of the developed inference tools will be demonstrated in a diverse range of applications such as autonomous sensing, material science and fabrication, and biomedical imaging.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",1
,375,4,"This action funds an NSF Postdoctoral Research Fellowship in Biology for FY 2019, Research Using Biological Collections.",1
,376,3,The fellowship supports research and training of the fellow that will utilize biological collections in innovative ways.,1
,377,3,The fellow is investigating the environmental causes of recent decreases in animal body size.,1
,378,4,"Across species and the globe, animal body size has decreased suggesting a response to some major environmental change occurring over the past 50-100 years.",1
,379,4,"This research clarifies what environmental factor is driving this decrease in body size by untangling the effects of two common factors known to affect animal body size, temperature and resource abundance.",1
,380,4,"Additionally, while most studies have not considered if species have been responding genetically to climate change, this study sheds light on whether temperature or resource abundance is causing populations to evolve.",1
,381,4,Uncovering what pressures organisms are responding to and how they are responding is fundamental to our understanding of how organisms react to rapid environmental change and will affect conservation efforts.<br/><br/>The fellow is combining museum specimens of the native bee Ceratina calcarata from the past hundred years with climate and land use data to reconstruct how bee populations have responded to environmental change.,1
,382,4,"Since close populations have experienced similar temperature but different land use regimes, a proxy for local resource abundance, the fellow has the opportunity to uncouple the effect of temperature and resource abundance on body size.",1
,383,4,The fellow is tracking the temporal changes in body size among these populations to see if size correlates with the average yearly temperature or the local resource abundance.,1
,384,5,"The fellow is also using comparative genomics of historical and recent populations to determine if temporal and spatial changes in gene frequencies at areas of the genome identified as being under selection correlate predictably with temperature or resource abundance, indicative of adaptive evolution.",1
,385,4,"The fellow is being trained in molecular genetics and genomic methods, which will expand the fellow's understanding of evolutionary genomics and complement the fellow's background in evolutionary ecology and behavioral ecology.",1
,386,4,"Additionally, the fellow is mentoring graduate and undergraduate students in using biological collections, experimental design, hypothesis testing, and manuscript preparation and publishing, as well as developing inquiry-based science modules in collaboration with local middle schools.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",1
,387,4,"Sediments and sedimentary rocks record how mountains are built, when climate changes, how sea level fluctuates, and the processes that erode, move, and deposit sediment.",1
,388,4,"This information can inform our understanding of modern Earth surface processes, natural hazards, and environmental systems crucial to sustainable food and water resources.",1
,389,4,"A key location to study these processes is in the Peloritani Mountains, northeastern Sicily, where the mountains are going up rapidly as a result of large and frequent earthquakes.",1
,390,4,"Hillslopes are prone to landslides during both earthquakes and violent storms, sending large amounts of sediment into the rivers.",1
,391,4,"This sediment is transported downstream to a narrow, densely-populated coastal strip, where it spreads out forming a delta at sea level.",1
,392,3,This project documents episodes of sediment deposition in the deltas and uses computer models to decipher the causative processes.,1
,393,3,"This research will better constrain how the Peloritani Mountain landscape responds to earthquakes, climate, landslides, flash floods, and sea level variability.",1
,394,3,Results from this work will help inform the local populace on geologic hazards in the region.,1
,395,3,"The project provides support for graduate students, early career post-doctoral researchers, and educational outreach to underrepresented groups at the K-12 level.<br/><br/>This project focuses on the construction of a source to sink landscape evolution model (LEM) informed by sediment yield and rock-magnetic cyclostratigraphic data to explore how quasi-periodic and stochastic tectonic forcings are encoded, shredded, propagated, and preserved in sedimentary archives.",1
,396,3,"With a relatively small drainage area (< 500 km2), uniform bedrock, and a known history of climate and base level variation, the study area offers an unparalleled natural experiment that scales well to a LEM exploring the geomorphic and sedimentologic responses to tectonic forcings in a system with low source storage.",1
,397,5,"The project tests hypotheses that changes in rates of rock uplift on short earthquake cycles to long secular uplift time scales (1) impact the response time and the autogenic periods of the system, lengthening both, (2) impact the grain size and sediment yield of the source independent of, and unique to, responses driven by periodic climate change, and (3) impart unique stratal onlap and offlap geometries, bed thickness, textural, and rock-magnetic variations in the sink, distinct from those imparted by periodic climatic forcing and quasi-periodic autogenic processes.",1
,398,5,The project incorporates a modeling strategy that merges Landlab in the source to Sedflux in the sink in order to predict unsteadiness in the source sediment flux and the resulting basin depositional architecture for a tightly linked source-to-sink system.,1
,399,5,"LEM predictions are evaluated against lithostratigraphy, rock-magnetic cyclostratigraphy, terrestrial cosmogenic nuclide (TCN)-determined modern and paleo-erosion rates, and sediment accumulation rates in fan deltas determined by optical luminescence.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",1
,400,3,"This project engages a collaborating team of experimental microbiologists, computational biologists, and mathematicians to understand the mechanisms by which soil bacterium Myxococcus xanthus aggregates into multicellular mounds in response to starvation.",1
,401,3,"Using mathematical and biological approaches, the team will uncover interactions that control different stages of developmental self-organization: (1) pre-aggregation cell alignment and formation of cellular streams; (2) formation and growth of initial aggregates; and (3) aggregate coarsening, dispersal, and pulsing.",1
,402,3,This project is expected to elucidate some of the general mechanisms behind the collective behavior of motile cells in other organisms and to develop widely applicable mathematical approaches.,1
,403,4,Transition from single cells to multicellularity is fundamentally important to increase understanding of many pathogenic bacteria and to elucidate self-organization in more complex systems.,1
,404,4,"Even though individual bacterial cells are considered to function independently and to be autonomous, many bacterial populations will act collectively, communicating, moving and self-organizing into multicellular structures.",1
,405,4,"M. xanthus is a great model system for studying biological self-organization: its cells function fine alone, but cooperate to form variety of distinct, dynamic patterns depending on environmental conditions.",1
,406,4,"However, the mechanisms of these behaviors are currently not fully understood.",1
,407,4,Broader impacts of the project will be further enhanced by training opportunities for participating students.,1
,408,4,Solving complex biological problems requires a new generation of life scientists with cross-disciplinary training in both experimental and computational methods.,1
,409,4,"This research will provide those training opportunities for all participants, facilitated by close interactions such as joint meetings and trainee collaborations.",1
,410,3,<br/><br/>This project focuses on solving one of the fundamental problems of modern developmental biology: how individual cells self-organize into multicellular structures.,1
,411,3,"In particular, the goal of the research is to uncover mechanisms controlling the developmental program of a biofilm formed by M. xanthus.",1
